Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-10-15,71.5306,71.5306,71.3558,71.5306,109.3750000035
2019-10-16,72.2285,72.2285,70.6589,70.6589,23.9583333341
2019-10-17,70.6589,70.6589,70.3094,70.3094,104.16666667
2019-10-18,70.3094,70.6589,69.2621,69.4368,667.7083333547
2019-10-21,69.7853,69.7853,68.7389,68.7389,1375.000000044
2019-10-22,68.9136,69.4368,68.9136,69.4368,685.4166666886
2019-10-23,69.4368,70.4832,69.4368,70.4832,1068.7500000342
2019-10-24,69.96,70.6589,69.4368,69.96,1004.1666666988
2019-10-25,69.96,69.96,69.7853,69.96,168.7500000054
2019-10-28,69.96,69.96,69.4368,69.4368,392.7083333459
2019-10-29,69.7853,69.7853,69.7853,69.7853,28.1250000009
2019-10-30,70.6589,70.6589,69.4368,69.7853,767.7083333579
2019-10-31,69.7853,69.7853,69.7853,69.7853,160.4166666718
2019-11-04,69.7853,69.7853,69.2621,69.2621,513.5416666831
2019-11-05,69.2621,69.7853,69.2621,69.2621,505.2083333495
2019-11-06,69.7853,69.7853,69.2621,69.2621,235.4166666742
2019-11-07,69.6115,69.7853,69.6115,69.6115,619.7916666865
2019-11-08,69.7853,69.7853,69.2621,69.2621,453.1250000145
2019-11-12,69.4368,69.4368,68.7389,69.4368,431.2500000138
2019-11-13,69.4368,69.4368,68.7389,69.2621,231.2500000074
2019-11-14,69.6115,69.6115,69.2621,69.6115,23.9583333341
2019-11-15,69.4368,69.6115,69.4368,69.6115,200.0000000064
2019-11-18,69.7853,69.7853,69.4368,69.6115,539.5833333506
2019-11-19,69.7853,69.7853,68.5642,68.5642,848.9583333605
2019-11-20,69.4368,69.4368,68.9136,69.0883,334.3750000107
2019-11-21,69.2621,69.4368,69.0883,69.0883,384.3750000123
2019-11-22,69.0883,69.2621,69.0883,69.2621,66.6666666688
2019-11-25,69.6115,69.6115,69.0883,69.0883,48.9583333349
2019-11-26,69.0883,69.4368,69.0883,69.4368,917.7083333627
2019-11-27,69.4368,69.4368,69.4368,69.4368,166.666666672
2019-11-28,69.0883,69.0883,69.0883,69.0883,22.9166666674
2019-11-29,69.4368,69.6115,69.0883,69.4368,154.1666666716
2019-12-02,69.4368,69.4368,69.2621,69.4368,907.2916666957
2019-12-03,69.2621,69.4368,69.2621,69.4368,421.8750000135
2019-12-04,69.2621,69.6115,69.2621,69.6115,191.6666666728
2019-12-05,69.6115,69.7853,69.2621,69.7853,644.7916666873
2019-12-06,70.1347,70.3094,69.7853,70.3094,552.083333351
2019-12-09,70.4832,72.2285,69.96,70.6589,1242.7083333731
2019-12-10,70.6589,71.1811,70.6589,71.1811,864.583333361
2019-12-11,71.3558,71.5306,70.3094,70.6589,1070.8333333676
2019-12-12,71.3558,71.3558,70.4832,70.4832,327.0833333438
2019-12-13,71.1811,71.3558,69.96,71.3558,591.6666666856
2019-12-16,71.3558,71.3558,70.1347,71.1811,276.0416666755
2019-12-17,71.1811,71.1811,70.6589,71.0074,118.7500000038
2019-12-18,71.1811,71.3558,70.6589,71.0074,643.7500000206
2019-12-19,71.5306,74.1475,71.5306,71.5306,1404.1666667116
2019-12-20,71.88,72.4022,70.1347,71.88,3273.9583334381
2019-12-23,72.4022,72.4022,71.88,72.0538,1595.8333333844
2019-12-27,72.4022,72.4022,71.88,71.88,659.3750000211
2019-12-30,72.4022,72.4022,71.88,71.88,1157.2916667037
2020-01-02,74.1475,74.1475,72.2285,72.2285,2403.1250000769
2020-01-03,72.4022,72.4022,72.2285,72.2285,891.6666666952
2020-01-07,72.4022,72.4022,72.2285,72.4022,984.3750000315
2020-01-08,72.4022,72.4022,71.7043,72.4022,1084.3750000347
2020-01-09,72.2285,72.4022,71.7043,72.4022,673.9583333549
2020-01-10,72.4022,72.4022,71.88,71.88,1666.66666672
2020-01-13,72.4022,72.4022,72.0538,72.4022,1281.250000041
2020-01-14,72.4022,72.4022,71.7043,72.4022,928.1250000297
2020-01-15,72.4022,72.4022,71.88,71.88,1528.1250000489
2020-01-16,72.4022,72.4022,71.88,72.0538,450.0000000144
2020-01-17,72.0538,72.0538,71.88,72.0538,745.8333333572
2020-01-20,72.0538,72.2285,72.0538,72.2285,1563.5416667167
2020-01-21,72.4022,72.4022,72.2285,72.4022,370.8333333452
2020-01-22,72.4022,72.4022,72.4022,72.4022,562.500000018
2020-01-23,72.2285,72.4022,71.88,72.0538,616.6666666864
2020-01-24,71.88,72.2285,71.88,71.88,810.4166666926
2020-01-27,72.4022,72.4022,70.6589,70.8326,5759.3750001843
2020-01-28,71.1811,71.5306,70.6589,71.5306,1220.8333333724
2020-01-29,71.5306,71.5306,71.5306,71.5306,1434.3750000459
2020-01-30,71.5306,72.4022,70.8326,72.4022,1898.9583333941
2020-01-31,72.4022,72.4022,71.7043,71.88,627.0833333534
2020-02-03,72.0538,72.2285,71.7043,72.0538,654.1666666876
2020-02-04,72.0538,72.4022,71.7043,72.2285,1518.7500000486
2020-02-05,72.2285,72.2285,71.7043,71.7043,938.5416666967
2020-02-06,72.0538,72.2285,71.7043,72.2285,961.4583333641
2020-02-07,72.2285,72.2285,72.0538,72.2285,108.3333333368
2020-02-10,72.2285,72.2285,72.0538,72.2285,1042.7083333667
2020-02-11,72.2285,72.4022,71.88,72.2285,387.5000000124
2020-02-12,72.2285,72.2285,71.88,72.2285,630.2083333535
2020-02-13,72.2285,72.4022,71.7043,72.4022,767.7083333579
2020-02-14,72.4022,72.4022,72.2285,72.2285,269.7916666753
2020-02-17,72.2285,72.4022,71.7043,71.88,991.6666666984
2020-02-18,72.2285,72.2285,70.8326,71.5306,911.4583333625
2020-02-19,71.5306,71.88,70.6589,71.88,508.3333333496
2020-02-20,71.88,71.88,71.88,71.88,164.5833333386
2020-02-21,71.7043,72.2285,71.1811,72.2285,1362.5000000436
2020-02-24,72.2285,72.4022,70.6589,70.6589,1908.3333333944
2020-02-25,69.96,72.0538,66.8198,68.7389,2790.6250000893
2020-02-26,69.7853,69.7853,68.5642,68.7389,1388.5416667111
2020-02-27,68.9136,68.9136,67.343,67.6925,787.5000000252
2020-02-28,66.8198,67.5178,63.6797,67.1693,4100.0000001312
2020-03-02,65.5987,67.5178,65.424,67.5178,2280.2083334063
2020-03-03,68.5642,69.4368,68.2157,69.2621,932.2916666965
2020-03-04,69.2621,70.4832,68.9136,69.6115,845.8333333604
2020-03-05,69.0883,69.0883,66.2966,67.1693,1140.6250000365
2020-03-06,67.343,68.5642,67.343,68.041,1129.1666667028
2020-03-09,65.424,67.1693,63.6797,64.5523,2191.6666667368
2020-03-10,64.5523,66.9946,64.2029,65.5987,1420.8333333788
2020-03-11,65.9472,65.9472,62.807,65.2502,2089.5833334002
2020-03-12,62.807,62.807,58.4458,58.4458,2816.6666667568
2020-03-13,57.9226,62.9818,57.9226,61.0627,1571.8750000503
2020-03-16,61.0627,61.0627,55.8288,60.888,1118.7500000358
2020-03-17,60.888,61.0627,60.1901,60.888,1423.9583333789
2020-03-18,61.0627,61.0627,58.7952,59.3174,1011.4583333657
2020-03-19,60.7142,60.888,60.1901,60.7142,736.4583333569
2020-03-20,60.888,60.888,59.3174,60.888,2284.3750000731
2020-03-23,61.0627,61.0627,58.271,58.271,1939.5833333954
2020-03-24,57.7478,61.0627,57.7478,58.271,1550.0000000496
2020-03-25,58.4458,60.888,58.4458,59.8416,517.7083333499
2020-03-26,59.8416,60.1901,59.3174,59.3174,289.5833333426
2020-03-27,60.7142,60.7142,58.4458,58.4458,363.5416666783
2020-03-30,59.3174,59.3174,58.7952,59.3174,203.1250000065
2020-03-31,60.1901,61.0627,60.1901,61.0627,665.6250000213
2020-04-01,61.0627,61.0627,61.0627,61.0627,35.4166666678
2020-04-02,61.0627,61.0627,59.3174,60.888,46.8750000015
2020-04-03,60.888,60.888,60.1901,60.1901,335.4166666774
2020-04-06,61.0627,61.0627,59.3174,59.8416,2486.4583334129
2020-04-07,61.0627,61.0627,59.8416,60.3648,1309.3750000419
2020-04-08,61.0627,61.0627,60.0154,60.3648,748.9583333573
2020-04-09,60.888,60.888,59.3174,60.1901,1358.3333333768
2020-04-14,62.807,64.9008,62.807,64.3766,8732.2916669461
2020-04-15,65.424,65.424,63.1565,63.505,3813.5416667887
2020-04-16,64.5523,65.424,63.3312,63.3312,1758.3333333896
2020-04-17,64.2029,64.2029,63.505,63.8544,2293.7500000734
2020-04-20,68.041,68.041,64.5523,65.0755,4093.750000131
2020-04-21,66.1219,66.2966,63.6797,64.0282,2703.1250000865
2020-04-22,63.6797,66.2966,63.6797,64.9008,742.7083333571
2020-04-23,67.1693,67.1693,65.9472,66.1219,1143.7500000366
2020-04-24,66.8198,66.8198,64.5523,64.5523,2720.8333334204
2020-04-27,64.5523,65.2502,62.807,63.6797,2683.3333334192
2020-04-28,63.8544,64.2029,63.6797,64.0282,704.1666666892
2020-04-29,64.0282,65.2502,62.807,62.9818,4378.1250001401
2020-04-30,65.7734,66.1219,63.3312,63.6797,3544.7916667801
2020-05-04,65.424,65.424,64.0282,64.3766,735.4166666902
2020-05-05,64.5523,65.424,64.2029,64.3766,1476.0416667139
2020-05-06,65.2502,65.2502,64.5523,64.5523,504.1666666828
2020-05-07,64.5523,65.424,64.5523,65.0755,551.0416666843
2020-05-08,65.424,65.424,64.3766,64.3766,1271.8750000407
2020-05-11,64.5523,65.9472,64.5523,65.424,1698.9583333877
2020-05-12,65.5987,65.5987,64.5523,64.5523,1258.3333333736
2020-05-13,65.424,65.9472,64.5523,64.5523,545.8333333508
2020-05-14,65.7734,65.7734,63.6797,64.2029,2556.2500000818
2020-05-15,64.3766,65.5987,64.3766,65.0755,617.7083333531
2020-05-18,65.9472,65.9472,65.2502,65.7734,712.5000000228
2020-05-19,64.5523,65.424,64.5523,64.5523,795.8333333588
2020-05-20,64.5523,64.7261,64.2029,64.2029,783.3333333584
2020-05-21,64.7261,65.0755,64.5523,65.0755,1122.9166667026
2020-05-22,65.424,65.424,65.0755,65.0755,915.6250000293
2020-05-25,65.0755,65.9472,64.3766,64.3766,422.9166666802
2020-05-26,64.3766,65.9472,64.3766,65.9472,694.7916666889
2020-05-27,66.2966,66.2966,64.5523,65.0755,1937.500000062
